Nui Beach,2018-01-04 15:45:47.043,Pretty wild beach. Monkeys walk on it. There is a small beach bar.,4.3,8,6,7,7,2.1,4,8,8,3,0,2,2,5,1,1
Klong Jark Beach,2018-01-04 15:59:29.523,NULL,4.2,8,6,6,6,4,4,8,8,3,0,1,1,5,0,3
Bamboo Bay Beach,2018-01-04 16:08:07.063,One of the best beaches on the island. Monkeys walk on it. Pretty clean sea water. Few people.,5.2,8,7,7.5,7.5,4,4,9,8,3,0,1.5,3,8,0,7
Southeast Beach,2018-01-04 16:58:38.460,Very nice coral reef just meters from the beach. A wonderful snorkeling spot. Visibility under water from 8 to 12 meters.,7,9,5,6,6,6.5,6,8,8,7,7,7,5,8.5,7.5,8.5
Northeast Beach,2018-01-04 17:13:41.723,Very nice beach. Several Resorts. A lot of boats with day trippers arrive here around noon. Then it becomes crowded for 2-3 hours.,5.9,8,6,4,5,7,5,8,9,5,4,4,5,9,0,9
Sunset Beach,2018-01-04 17:23:44.157,"Pretty little wild beach. A narrow, marked trail leads to it. A rarely visited beach. Suitable for people seeking seclusion.",4.6,8,5,6,8.5,0,7,8,8,7,2.5,4,4,0,1,0
Ao Phante Melaka,2018-01-04 17:40:10.730,A place for those who love the silence and tranquility. Good camping. The beach is with beautiful sand. It goes for walks and running. Perfect  place for swimming. Big amplitudes between hihgtide and lowtide.,6.1,8,6,5,8,7,3,9,10,3,2,2,3,9,9,8
Ao Jak,2018-01-04 17:56:24.827,"Wild, deserted beach. Many rubbish thrown on the shore by the waves.",3.7,8,2,4,9.8,0,2,6,10,2,0,0,1,9,1,0
Ao Mo Lae,2018-01-04 18:08:48.397,"Years ago, the ""Survivor"" series was shot here. Now on this beach there is a campsite with 20 bungalows and a place for tents.",5.6,8,6,6,9,6,3,9,9,3,1,1,2.5,8,8,5
Ao Son North,2018-01-04 18:21:29.063,Long walk to the beach and the campsite. The beach is not nice. The campsite area looks good.,3.4,2.5,6,4,9.7,5,2,8,2.5,2,0,0,2.5,2,3,2
NP Camping Beach,2018-01-04 18:45:54.867,Wonderful island. Lovely beach. Good coral reef. Very good snorkelling area. Good Camping.,7.2,9,8,5,6,7,7,8.5,9,7,7.1,7.1,6,5,9,8
North of NP Camp Beach,2018-01-04 18:54:36.543,Lovely wild beach,6,9,7,7,9.5,0,7,9,9,6,6.5,6.6,6,6,1,0
North West Beach,2018-01-04 19:02:54.523,Lovely wild beach Good coral reef. Transparent sea water Good snorkeling.,6.3,9,9,7,8.5,0,7,9,9,7,7,7,7,7.5,1,0
West Beach,2018-01-05 07:35:14.947,Lovely wild beach. Pure sea water. Good coral reef. Very good snorkeling.,6.4,9,9,7.5,8.5,0,7,9,9,7,7,7,7,8,1,0
Haad Sai Khao,2018-01-05 07:49:05.090,Many tourists come here to a picnic. There is a Ranger Station at the National Park. There is also a small beach bar. Lovely beach. Not very clean. Pure sea water. Good coral reef. Good snorkeling.,5,8,6,7,4,2,6,7,9,6,6,6,3,5,0,0
Cenang Beach,2018-01-05 07:57:34.303,Many people on the beach. Dozens of jets in the sea water. Cars on the beach move in the evening. Too noisy beach. Cloudy seawater. Unpleasant to bath. Wonderful sunsets.,4.5,8,7,5,1,9,1,4,9,1,0,0,6,8,0,9
Thengah Beach,2018-01-05 08:13:46.973,Nice beach but: Cloudy seawater. Unpleasant to swim. Wonderful sunsets.,4.5,8,7,5,3,8,1,4,9,1,0,0,6,6,0,9
Harmony Camping  Beach,2018-01-05 08:25:02.337,Lovely beach. Very good sand. Natural shade from the tree on the beach. Good coral reef. Good snorkeling. Wonderful nature.,7.1,9,7,8,7,2,7,6,9,7,7,7,8,9,6,8
Harmony Camping  Beach,2018-01-29 23:51:19.047,NULL,7.3,9.6,8.6,7.6,5,5,7.6,7.5,7.1,8.6,8.8,8.1,6,9.5,5,5
Main Beach,2018-01-05 08:42:56.957,Lovely long beach. Very good sand. Natural shade from the tree on the beach. Several hotels and restaurants. Camping.,6.1,8,7.5,6,6,7,5,7,9,3,2.5,2.5,5,8,7,8
Main Beach -Hotel Azalia,2018-01-05 08:58:14.370,Lovely long beach. Very good sand. Hot mineral springs in the area. Many hotels and restaurants.,4.3,8,7.5,3.5,1,9,2.5,7,8,1,0,0,1,7,0,8.5
Main Beach -Hotel Azalia,2018-02-03 23:35:13.583,A very touristy area with plenty of umbrellas. Generally overcrowded.,3,3.8,3.7,2.2,1.5,8.1,1.6,2.7,2.3,0.5,0,1.3,0.5,7.7,0,8.9
Sirius Hotel Beach,2018-01-05 09:05:07.603,Hot mineral springs in the area. Many hotels and restaurants.,4,7,7.5,3.5,1,9,2,7.5,6.5,1,0,0,1,5,0,9
Sirius Hotel Beach,2018-02-03 23:45:13.937,"This beach is at the very beginning of the Sunny Day 2-kilometer-long beach. There are plenty of rocks, and the sand isn't that good. On top of that, the mineral water pipe is very close nearby, so it isn't very clean.",3,3.3,2.4,3.1,1.5,7.9,1.6,2.8,4.5,0.1,0,1.4,0,7.1,0,9.1
Hotel Admiral Beach,2018-01-05 09:25:17.080,Lovely long beach. Overcrowded during the season. Very good sand. Many hotels and restaurants.,4.6,9,8.5,3,1,9.5,2.5,7.5,10,1,0,0,1,7,0,9
Riviera Beach,2018-01-05 09:34:49.273,NULL,4.7,9,9,4,2.5,9,2.5,7.5,9,1,0,0,1,7.5,0,8
Ras Katy Beach,2018-01-05 09:46:33.963,"One of my favorite beaches in Sharm El Sheikh. Protected by predominant winds. Rarely there are waves here. Maybe 1-2 times in 10 days. Coral reef right in front of the beach is nothing special. To the left of the beach, however, towards Ras Um Um Sid Bai, the coral reef is wonderful. The average height of the coral wall varies from 2 to 8-10-12 m. The seabed after the coral wall is mostly sandy. A wonderful snorkeling spot.",5.7,2.5,5,7,7,8,9,9,2,8,8.2,8.3,1,2,0,9
Ras Katy Beach,2018-01-30 19:20:07.057,Good beach for sunbathing. Coral reef in front of him is very poor .. For water I recommend beach shoes There is security at the entrance. Access is limited. At the moment there are repairs on the beach.,6.1,3,4.2,7.6,5,9.1,8.9,7.8,3.4,7.5,8,8.9,0,9.1,0,9.1
Wild Beach-Hadaba,2018-01-14 18:28:18.983,"Great place for snorkeling and swimming. Affordable wonderful coral reef. Diverse underwater life. Here you can find fish lion, parrot fish, picasso fish, mint, skate, moraine and various corals. The stairs to the beach are a bit steep, but they are not a problem.",5,0.5,0.5,5,3,7.5,9.6,8.5,1,10,8.5,10,0,1.5,0,9.6
Wild Beach-Hadaba,2018-01-05 09:54:26.710,"The beach is protected by the prevailing winds. It is very rare to see a light sea wave here. Guaranteed at least 25 days a month here the sea has a flat surface. The beach is divided into two parts. The northern part is only for the guests of the nearby hotel-Beach Albatross. External people are not allowed. The southern part is a public beach with free access. There is a security guard. It is sad that this pretty beach is never cleaned. The beach is dirty. The sand is also very bad. But sea water is clean. Coral reef is also very good. The coral wall is only 2-3-4 meters tall. Below the wall, the bottom is almost everywhere with beautiful sand. A wonderful snorkeling spot. Very suitable for people who are beginners - swimmers and snorkellers.",4.9,1.5,1.5,5,3.5,8,9,7.5,2,8,8,8,0,2.5,0,9
Ras Um Sid Bay Beach,2018-01-05 10:01:07.573,"The most frequently photographed beach, which has become the emblem of Sharm El Sheikh. The other name on the beach is Golden Beach. Few are Sharm beaches with fine sand and this is one of them. The best sand is in front of Faraana Reef Resort and Reef Oasis Beach Resort. Ras Um Sid Bay is protected from the prevailing winds. Even in the winter months there are rarely sea waves. The coral reef in the bay is wonderful. Since the bay and the coral reef are large, there are sections with better and more opaque corals. The best coral formations are in the western part of the bay, in the direction of Ras Katy Beach. The bay is perfect for snorkeling by beginners. Depth is small. An average of 4-8 meters. There are almost no currents, or very weak. Coral and sand islands are often routed along the seabed. The marine fauna here is also abundant. All of this creates a wonderful feeling for anyone entering this paradise aquarium.",6.2,7,7.5,8.5,3,8.5,9.5,8.5,5,7.5,8.8,8.7,0,1,0,9
Ras Um Sid Bay Beach,2018-01-30 18:44:58.940,"A crowded beach. Music, beach games, water aerobics and great snorkeling. Something for everyone.",6.4,7.3,8.2,7.2,1.8,7.9,9.1,5.1,5,8.8,8.9,8.6,0,8.3,0,9.1
Maya Bay Beach,2018-01-14 21:02:51.583,"Very well-sheltered bay. Almost always quiet and without the sea waves. Minus is that there is no coral reef. There are several crowded public beaches here-(Terrazzina, El Kheima etc). The water in this relatively closed bay with a narrow mouth is unfortunately quite polluted. The bottom is slimy.   ",4.4,5,5,5,2.1,8.6,6.1,4.1,7,4.2,0,3.1,0,6,0,9.2
Maya Bay Beach,2018-01-05 10:09:57.257,"Wind-protected bay. No waves. Good sand. Sandy seabed. Suitable for young children. Pretty crowded beach. It is well cleaned mainly in the adjacent hotels-Iberotel Palace and Dessole Seti Sharm Resort. For private tourists there are several private beaches with restaurants and a paid entrance. Public Beach-Google Maps Coordinates: 27.861129, 34.297207;    El Kheima Beach- Google Maps Coordinates: 27.862679, 34.291397;    Terazina Beach -Google Maps Coordinates: 27.859912, 34.289498 .... From Maya Bay Beach go the boats with which tourists explore the nearby coral reefs. http://www.unitedsubmarines.com/ What the tourists see underwater with these boats can also be explored independently, if a snorkeling is made along Wild Beach-Hadaba and Ras Katy Beach.",4.5,5,6.5,5,3,9.5,6,4,8,2,1,1.5,1,6,0,9
El Fanar Beach,2018-01-05 10:18:40.273,"Perfect beach for snorkelling and diving directly from the shore. A high coral wall-20-30м. Due to the considerable depth, the bottom is often lost sight. The marine fauna here is abundant. Often there is a sea current changing its direction.",5.8,2.5,9,7.5,7.5,7.5,9.2,9.5,0,8.5,8,8.2,0,0,0,9
Palma Beach,2018-01-05 10:27:12.513,"Access to Palma Beach is limited. It is used only by the guests of several hotels, among them Falcon Hills Hotel. The beach area is quite large. There are plenty of umbrellas and deck chairs that lie on something that can hardly be called sand. The real sandy beach is small, with good sand. Just in front of this little sandy beach is the pontoon that leads to the coral wall. The coral wall is 20-25 meters high. In some places the bottom is lost from sight while swimming over the water. A lot of people here can experience fear of depth. Coral reef good. With dozens of species of coral and marine fauna. The snorkeling here, however, quickly gets tired because it swims around a nearly identical coral wall everywhere. The sea current, which is almost constant, with varying speed and direction, should not be neglected. Most of the eastern winds blowing wind winds blow here. Perhaps 7-8 every 10 days the winds are. On such days, snorkeling is not pleasant here. The strategy is to watch the direction of the wind. When the wind blows the winds here is perfect. .... Coral reef and snorkeling conditions are similar to and in front of the beaches of the two adjoining hotels - Renaissance Sharm El Sheikh Golden View Beach Resort and Sunrise Grand Select Montemare Resort.",5.4,3,7.8,4,5,8,9.5,9.2,1.5,8.7,8,8,0,0.5,0,8.5
Naama Bay Beach,2018-01-05 10:39:37.453,"The most visited beach of Starm El Sheikh. Protected by winds. Very good quality of the sand. Well maintained, especially in front of the best beachfront hotels, like Fayrouz Resort, Sharm El Sheikh Marriott Resort and Novotel Hotel Naama Bay. Child-friendly beach. Mostly sandy seabed. There are coral areas in separate places. The quality of the coral reefs here is very low. Still, a decent snorkeling can be done. Sometimes the cleanliness of sea water here is surprisingly good for a crowded beach. From time to time, however, seawater may be unpleasantly dirty. Public Beach - Cheapest-10 EGP, 0,6 USD (2017) Google Maps Coordinates: 27.912458, 34.328016 ----- Delta Sharm Beach - 40 EGP, 2,3 USD (2017) Google Maps Coordinates: 27.913970, 34.330982",5.6,7,8,3,2.5,10,8,8,7,4,4,4,1,7.5,0,10
Moevenpick Pesort Beaches,2018-01-05 10:54:11.527,"Access to the beaches of Mövenpick Resort Sharm el Sheikh is limited to outside guests. Access to the coral reef by sea, however, has no one to restrict. With a small swim from the northern beach of Naama Bay, it is easy to get here. Here is the best coral reef in the whole bay. The seabed is a mixture of coral gardens and sandy areas. Average depth: from 2 to 7 m. A nice snorkeling spot.",6.2,3.5,10,5.5,5,10,9,9,3.5,7,7,7.5,0,7,0,8.5
Montazah Public Beach,2018-01-05 11:07:41.660,"Montazah Public Beach is one of the most pleasant beaches of Sharm El Sheikh. The sand is very good. Something rare in Sharm. Here are very few people. It's calm. In front of the beach is Ras bob coral reef. Excellent coral reef!!! One of the best places in Sharm El Sheikh for snorkeling. You have to go through the reef plate (0.5м) to get to the reef wall. The height of the reef wall varies from 3 to 10-12 meters. Below the reef wall there is a sandy slope dotted with various coral formations. Mostly coral gardens with pinnacles. Often, there are weak currents parallel to the shore that change their direction.",5.7,6,7,3,8,6,10,9.5,2,7.2,8.5,8.8,0,2,0,7
Montazah Public Beach,2018-01-30 19:49:57.243,"Good beach for sunbathing. The Coral Reef is near the coast. Very different corals and a diverse marine world.There is a slight current. Excellent snorkeling. The place is a villa area. There are many construction projects at the moment. There are no grocery stores. The closest are to Naama Bay. ",6.3,7.9,5,5,9,7.4,9.1,8.9,1.5,8.9,9.2,9.2,0,5.1,0,8.9
Milf Reef Beach,2018-01-05 11:16:08.163,"An impressive desert beach. People rarely come here. These are mostly people who have pedestrian access from the nearby two hotels: Hyatt Regency Sharm El Sheikh Resort  and Mövenpick Resort Sharm el Sheikh. Good swimmers can get to this beach by Naama Bay. Good coral reef in front of the beach - ""Near Garden Reef"". Good snorkeling, but nothing special.",4.3,5,5,5,10,0,9,9,2,6,5.5,5.5,0,2,0,0
Kavalikefta Beach,2018-01-05 12:15:37.593,Lovely beach.,5.1,8,8,8,6,2,7,8,7,2.5,0,1,9,6,2,2
Comillo Beach,2018-01-05 12:23:37.213,"Wonderful, wild, hard-to-reach beach.",5.6,8,7.5,7,10,0,6.5,9.5,7.5,3,0,2,7.5,8,6.5,1.5
Gialos Beach,2018-01-05 12:32:47.617,"Wonderful, wild, hard-to-reach beach. It is about 4 km long. Only 1/3 of it is accessible by cars on a narrow mountain road.",6,8,8,9,8,1,7,9,8,2.5,0,1,9,9,8,2
Egremni Beach,2018-01-05 12:46:15.693,Egremni Beach. The beach is over 2 km long. Almost no one near the south. A paradise with about 50 meters of sandy strip. After an earthquake I found some of the rocks collapsed.,5.7,8,8,8,8.5,1,7,9,7.5,2,0,1.5,8.5,8.5,7,1
Porto Katsiki Beach,2018-01-05 12:55:46.100,Great beach.,5.2,8.5,9,9.5,5,2,7.5,9.5,9.5,2,0,1.5,9,5,0,0
Megali Petra Beach,2018-01-05 13:05:24.147,Great beach.,4.9,8,8.5,8,6,2,7,8,7.5,2,0,1,7,6,2,1
Kathisma Beach,2018-01-05 13:33:33.847,NULL,3.9,6,6.5,5,5,3.5,6,7,5,2,0,0,5,4,1,3
Achlada Beach North,2018-01-05 14:04:21.427,Magnificent small wild beach.,4.9,5,4,7,9.5,0,7,7,5,3,0,2.5,10,3.5,8,2
Agios Georgios Beach-South,2018-01-05 14:14:22.833,Small wild beach.,4.6,7,5,4,8,1,7,7,8,2.5,0,1,9,1,7,2
Lemos Beach,2018-01-05 14:22:20.000,A magnificent wild beach.,5.5,7,5.5,9.5,9.8,0,7,9,8,3.5,0,2.5,9,7,3,1
Paradise Beach,2018-01-05 14:32:53.417,Magnificent small wild beach. Wild campsite.,5.6,9,7.5,7.5,5,0,7,9,9,3,0,1,8,5,8.5,4
Azapiko Beach,2018-01-05 14:44:13.630,A small wild beach.,4.7,7.5,7,5,6,0,7,9,8,2.5,0,1,8,5,2.5,2
Aretes Beach,2018-01-05 15:03:36.793,Nice beach,5.1,7,6,5,5,5,6.5,8.5,6.5,5,0,1,7,5,4,5
Lagomandra Beach,2018-01-05 15:23:22.060,Nice beach,5.8,7.5,8,6,6.5,7,7,8.5,9,3.5,0,2.5,7.5,7,0,7
Paradisos Beach,2018-01-05 17:51:54.417,Nice city beach,5.1,6.5,7,3,2.5,8.5,5,8.5,9,1,0,0,6,5,5,9
Neos Marmaras Beach,2018-01-05 18:08:12.000,Nice city beach,4.9,8,8,3,2,9,6,8.5,9.5,1,0,0,4,5,0,9
Karidi Beach,2018-01-05 18:32:30.230,Amazing Beach,5.8,7,7.5,9.5,3,8,7,8.5,6.5,2.5,0,1,9,7.5,1,9
Albena Beach,2018-01-07 08:05:31.820,"Nice beach and resort. Nice sand, a clean and sloppy seabed. The beach is suitable for families with children.",4.5,8.5,8,2.5,2,8.5,2,8,9.5,1,0,0,1,8.5,0,8.5
Albena Beach,2018-01-14 19:58:45.967,Great place for beach relaxation and family vacation. Only a sandy bottom.,5.2,9.5,9.1,6.7,2.1,9.1,2.1,8,10,1.5,0,0,2.1,10,0,8.1
Kranevo Beach,2018-01-07 08:18:24.573,"Nice sand, clean and sloppy seabed. The beach is suitable for families with children.",4.1,8,7,3,1,8.5,2,7.5,9.5,1,0,0,1,4,0,9.5
Bolata Beach,2018-01-07 12:31:52.803,"Wave-protected bay. Wonderful landscape. Lovely kayaking outside the bay in good weather. Аbout Kayaking see: https://kayamping.blogspot.com.eg/2011/11/blog-post_4043.html ",3.4,4,4,9,3,1,2,7,8.5,1,0,0,9,2,0,0
Bolata Beach,2018-02-03 23:27:07.047,"True, there are breath-taking cliffs there, but the state of the beach absolutely sucked last time I went there. The waters are secluded by a crescent formation of rocks, so even if it's windy, the waters are mostly calm. It is, however, very littered. Kayaking is wonderful outside the rocky shield, though it could get dangerous.",2.9,3.1,3.3,6,3,0.8,2.3,2,NULL,2.5,0,2.8,5.3,3.2,5.1,1.2
Rusalka Beach-North,2018-02-03 23:22:55.190,"The strip is quite tiny, but it's worth it. The water is very clean, and it's quite picturesque.",4.3,3.8,4.9,7.3,1.5,4.6,6.4,7.9,3,4.6,0.3,6.1,4.9,4,0,5
Rusalka Beach-North,2018-01-07 12:50:06.500,"Wonderful landscape. Lovely kayaking in nice weather. ",4.6,6.5,7.5,8.5,4,5,4,9,2.5,2.5,0,2.5,9,5,0,3
Rusalka Beach-South,2018-01-07 13:52:40.927,Wave-protected bay. Wonderful landscape. Lovely kayaking in nice weather.,6,6.5,9,9,8.5,8,3,9.5,9,2,0,1,9,8,0,8
Galata Beach,2018-01-07 14:10:49.013,A city beach you feel like you are on a wild beach.,4.1,7.5,6.5,6,5,0,2.5,7.5,8,1,0,1,5,3,0,8.5
Galata Beach,2018-02-03 23:41:23.647,"The distance you have to travel to get to this little gem is worth it. It's quite small as far as I can remember, but the water is great, although there are plenty of rocks.",2.8,4.1,4.5,4.2,3,1.6,3.2,5.5,2.7,1.2,0,1.9,0.5,2.4,0,6.5
Chernomorets Beach,2018-01-07 14:58:18.917,Wild Beauty. A long beach where even in the peak of the season you can find some privacy.,4.4,7.5,5,6.5,4,3.5,2.5,6.5,9,1,0,0,4,7,1.5,7.6
Sunny Day Beach,2018-01-07 15:12:18.937,Wonderful Area.,4.9,8.5,9,3.5,4.5,9.7,2.5,7.5,9.9,1,0,0,2,7,0,9
Sunny Day Beach,2018-02-03 23:13:32.543,"The beachside is about a kilometer and a half long, and yet it gets quite crowded in the on-season. Not particularly good for swimming due to the abundance of jets and shallow waters.",3.5,4.9,4.6,0.8,1.4,7.2,3.4,4.9,9.6,0.2,0,0.3,0,6,0,8.5
Fichoza Beach,2018-01-07 15:31:18.957,Overcrowded beach at the peak of the season,3.6,7,3.5,3.5,1.5,5.5,2,7,8,1,0,0,4,3.5,1.5,6.5
Pasha Dere Beach,2018-01-07 15:40:36.130,Lovely long wild beach.,4.2,8.5,5.5,5,6,0,2.5,7.5,9,1,0,0,5,8,3.5,2
Pasha Dere Beach,2018-02-03 23:38:58.937,"That's a very decent, long beach. It never really gets crowded. There are some pretty spectacular views, and the nature behind it is well worth exploring.",3.8,4.7,6.5,7.5,0.8,0.3,2.4,6,3.9,0.9,0,2.3,6.4,7.6,7,0
Papaz Kulak Beach,2018-01-07 15:48:48.860,Lovely wild beach.,4.6,7.5,5,6,9.5,0,2,9,9,1.5,0,0,6,7,5,1.5
Kamchia Beach,2018-01-07 16:02:14.887,Long and wide beach.,4.5,8,4,5,4,7,1,7,10,1,0,0,4,5,5,6
Kamchia Beach,2018-02-03 23:31:05.777,"In the season, there's always a bunch of Russian kids running back and forth along the beach, which is SUPER long, like five or so kilometers. Even still, there's a bunch of people everywhere, and the water's usually muddy because of the Kamchia river.",3.4,4.3,3.6,5,2.6,3.5,1.3,3.8,7,0.8,0,1.6,2.8,7.5,3.3,3.6
Kamchia Sands Beach,2018-01-07 16:17:47.160,Long and wide wild beach. Protected area.,4,8.5,5,5,9.8,0,1,7,10,1,0,0,3.5,8,1,0
Shkorpilovtsi Beach,2018-01-07 16:26:29.027,Long and wide beach.,4.2,8,4,3.5,5,5,1,7.5,9,1,0,0,2,7,4,6
Durankulak Beach-South,2018-01-07 16:37:52.930,"Wonderful place - spacious, windy with clean sea water. The beach, away from the noise of the big cities, is a great place to relax. There is a campsite near it which offers accommodation, parking and food for its visitors.",4.2,8,6,3.5,8.5,3,1,8,9,1,0,0,1,7,5,2.5
Krapets Beach,2018-01-07 16:52:59.293,"The endless beach and wildlife. Even at the height of summer, this paradise remains untouched by crowds, and every beachfriend can indulge in peace and quiet. This is one of the most beautiful places on the Bulgarian Black Sea coast. On the northern beaches in Bulgaria, a strong wind blows and it is a great condition for kitesurfers.",4.1,8,7,4.5,7.5,0,1,9,9,1,0,0,2,7,3,2
Ezerets Beach,2018-01-07 17:04:21.617,"The endless beach and wildlife. Sea, exotic nature and two unique lakes.",4.1,8,5.5,4.5,8.5,0,1.5,8.5,9,1,0,0,3,7,3,2
Camping Dobrudja Beach,2018-01-07 17:33:02.023,"The beach at the Dobrudja campsite in Shabla is clean and spacious, there is plenty of space for every visitor. Here is definitely the atmosphere of the northernmost beaches along the Bulgarian Black Sea coast. Visitors to the place can enjoy the endless horizon, both on land and by sea.",5.2,8,7.5,4.5,5,7,1.5,8.5,9,1,0,0,2,8.5,7.5,8.5
Kabakum Beach,2018-01-07 17:43:24.003,"Kabakum Beach is one of the most visited beaches in Varna. Many of them have cottages in the area or choose it because of the cheap restaurants and the many attractions, including water bicycles, jets and more. The beach has free parking.",3.8,8,5,3.5,1,8.5,1.5,6.5,8.5,0.5,0,0,1.5,2.5,0,9.5
Kabakum Beach,2018-01-24 13:33:17.223,"I avoid this beach when I can. You never know when there's going to be 'stuff' swimming in the water, especially near the pier. Parking there is an absolute nightmare during the season. To top it off, it's extremely crowded.",2.2,3.3,1.3,0.5,0,6.4,2.8,1.5,8.7,0.7,0,0,0,3.5,0,3.8
Asparuhovo Beach,2018-02-03 23:47:25.617,"I wouldn't recommend this beach at all. Always full of people, and you get the feeling all of the dirty water converges there.",2.4,2.8,1.6,4.7,1.2,4.4,1.2,0.8,7.5,0.3,0,0,0.8,5.6,0,5
Asparuhovo Beach,2018-01-07 17:53:10.310,"A good looking city beach, but the sea water here is not clean.",4,7.5,7.5,4,2.5,7,0.5,4,9,1,0,0,2,7,0,7.5
South Beach,2018-01-07 18:03:24.753,"A typical city beach, but the sea water here is not very clean. Behind the beach there is a lovely city park about 4 km long. A wonderful place to go for a walk.",4.2,8,7.5,1.5,0.5,9.5,1,7,8,0.5,0,0,0,10,0,10
Officers Beach,2018-01-07 18:21:20.567,The sea water here is not very clean.,3.9,8,6.5,1.5,0,8.5,1.5,3.5,9,0.5,0,0,2,8,0,9.5
Officers Beach,2018-02-03 23:49:41.107,"This is where nightlife is in the summer. Plenty of bars/discos, and tons of young people. That being said, it's dirty and noisy, so not everyone's cup of tea.",2.3,3.8,2.4,2.1,1.6,5.1,1.2,2.8,5.9,0.4,0,0,1.6,5,0,2.7
Rapongi Beach,2018-01-07 20:43:09.163,The sea water here is not very clean.,4,8,8,3,1,8,1.5,6,7,1,0,0,1,7.5,0,7.5
Ras Gamila Beaches,2018-01-08 14:17:20.967,"Perhaps one of the best Coral Reef in Sharm El-Skaih. Perfect for snorkeling parallel to the coral wall all along the beach. For the weaker swimmers you can rest on the pontoons in front of each hotel. Current-mostly light. Often the current changes its direction. Best Coral Reef is in front of Coral Sea Sensatori Resort and Baron Resort-9,1/10. In the south, in front of a Coral Beach Montazah Hotel, the coral reef is a bit weaker- 8/10. The height of the reef wall varies from 5 to 10-12 meters. Below the reef wall there is Coral garden with pinnacles.",7,8,9.5,4,7,9,9.5,9,6,8,9.1,9,1.1,8,0,8
